region_country,category,parameter,mode,powertrain,year,unit,value
Malaysia,Historical,EV sales,Cars,BEV,2012,Vehicles,10.0
Malaysia,Historical,EV sales,Cars,BEV,2013,Vehicles,2.0
Malaysia,Historical,EV sales,Cars,BEV,2014,Vehicles,15.0
Malaysia,Historical,EV sales,Cars,BEV,2015,Vehicles,37.0
Malaysia,Historical,EV sales,Cars,BEV,2016,Vehicles,110.0
Malaysia,Historical,EV sales,Cars,PHEV,2017,Vehicles,8100.0
Malaysia,Historical,EV sales,Cars,BEV,2017,Vehicles,140.0
Malaysia,Historical,EV sales,Cars,PHEV,2018,Vehicles,8000.0
Malaysia,Historical,EV sales,Cars,BEV,2018,Vehicles,62.0
Malaysia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2500.0
Malaysia,Historical,EV sales,Cars,BEV,2019,Vehicles,42.0
Malaysia,Historical,EV sales,Cars,PHEV,2020,Vehicles,580.0
Malaysia,Historical,EV sales,Cars,BEV,2020,Vehicles,87.0
Malaysia,Historical,EV sales,Cars,PHEV,2021,Vehicles,960.0
Malaysia,Historical,EV sales,Cars,BEV,2021,Vehicles,290.0
Malaysia,Historical,EV sales,Cars,FCEV,2021,Vehicles,1.0
Malaysia,Historical,EV sales,Cars,PHEV,2022,Vehicles,1900.0
Malaysia,Historical,EV sales,Cars,BEV,2022,Vehicles,1300.0
Malaysia,Historical,EV sales,Cars,FCEV,2022,Vehicles,2.0
Malaysia,Historical,EV sales,Cars,BEV,2023,Vehicles,9200.0
Malaysia,Historical,EV sales,Cars,PHEV,2023,Vehicles,1900.0
Malaysia,Historical,EV sales,Cars,BEV,2024,Vehicles,26000.0
Malaysia,Historical,EV sales,Cars,PHEV,2024,Vehicles,1300.0
Malaysia,Historical,EV sales share,Cars,EV,2012,percent,0.0018
Malaysia,Historical,EV sales share,Cars,EV,2013,percent,0.00035
Malaysia,Historical,EV sales share,Cars,EV,2014,percent,0.0025
Malaysia,Historical,EV sales share,Cars,EV,2015,percent,0.0063
Malaysia,Historical,EV sales share,Cars,EV,2016,percent,0.021
Malaysia,Historical,EV sales share,Cars,EV,2017,percent,1.6
Malaysia,Historical,EV sales share,Cars,EV,2018,percent,1.5
Malaysia,Historical,EV sales share,Cars,EV,2019,percent,0.46
Malaysia,Historical,EV sales share,Cars,EV,2020,percent,0.14
Malaysia,Historical,EV sales share,Cars,EV,2021,percent,0.28
Malaysia,Historical,EV sales share,Cars,EV,2022,percent,0.49
Malaysia,Historical,EV sales share,Cars,EV,2023,percent,1.5
Malaysia,Historical,EV sales share,Cars,EV,2024,percent,3.6
Malaysia,Historical,EV stock,Cars,BEV,2012,Vehicles,26.0
Malaysia,Historical,EV stock,Cars,BEV,2013,Vehicles,14.0
Malaysia,Historical,EV stock,Cars,BEV,2014,Vehicles,27.0
Malaysia,Historical,EV stock,Cars,BEV,2015,Vehicles,55.0
Malaysia,Historical,EV stock,Cars,PHEV,2015,Vehicles,24.0
Malaysia,Historical,EV stock,Cars,PHEV,2016,Vehicles,1800.0
Malaysia,Historical,EV stock,Cars,BEV,2016,Vehicles,32.0
Malaysia,Historical,EV stock,Cars,PHEV,2017,Vehicles,8300.0
Malaysia,Historical,EV stock,Cars,BEV,2017,Vehicles,25.0
Malaysia,Historical,EV stock,Cars,PHEV,2018,Vehicles,9300.0
Malaysia,Historical,EV stock,Cars,BEV,2018,Vehicles,11.0
Malaysia,Historical,EV stock,Cars,PHEV,2019,Vehicles,6600.0
Malaysia,Historical,EV stock,Cars,BEV,2019,Vehicles,52.0
Malaysia,Historical,EV stock,Cars,PHEV,2020,Vehicles,7200.0
Malaysia,Historical,EV stock,Cars,BEV,2020,Vehicles,140.0
Malaysia,Historical,EV stock,Cars,PHEV,2021,Vehicles,8200.0
Malaysia,Historical,EV stock,Cars,BEV,2021,Vehicles,430.0
Malaysia,Historical,EV stock,Cars,PHEV,2022,Vehicles,10000.0
Malaysia,Historical,EV stock,Cars,BEV,2022,Vehicles,1700.0
Malaysia,Historical,EV stock,Cars,PHEV,2023,Vehicles,24000.0
Malaysia,Historical,EV stock,Cars,BEV,2023,Vehicles,11000.0
Malaysia,Historical,EV stock,Cars,FCEV,2023,Vehicles,3.0
Malaysia,Historical,EV stock,Cars,BEV,2024,Vehicles,37000.0
Malaysia,Historical,EV stock,Cars,PHEV,2024,Vehicles,25000.0
Malaysia,Historical,EV stock,Cars,FCEV,2024,Vehicles,3.0
Malaysia,Historical,EV stock share,Cars,EV,2012,percent,0.00033
Malaysia,Historical,EV stock share,Cars,EV,2013,percent,0.00017
Malaysia,Historical,EV stock share,Cars,EV,2014,percent,0.0003
Malaysia,Historical,EV stock share,Cars,EV,2015,percent,0.00084
Malaysia,Historical,EV stock share,Cars,EV,2016,percent,0.019
Malaysia,Historical,EV stock share,Cars,EV,2017,percent,0.082
Malaysia,Historical,EV stock share,Cars,EV,2018,percent,0.089
Malaysia,Historical,EV stock share,Cars,EV,2019,percent,0.062
Malaysia,Historical,EV stock share,Cars,EV,2020,percent,0.067
Malaysia,Historical,EV stock share,Cars,EV,2021,percent,0.077
Malaysia,Historical,EV stock share,Cars,EV,2022,percent,0.1
Malaysia,Historical,EV stock share,Cars,EV,2023,percent,0.29
Malaysia,Historical,EV stock share,Cars,EV,2024,percent,0.5
